claim_nbr,order_nbr,contract,license,name,addr,city,state,gpo,invoice_date,invoice_nbr,part,ship_qty,uom,sale,rebate
,2309733554,R705T1,3NFT,UNIVERSITY OF ROCHESTER-STRONG W (L,156 WEST AVE,BROCKPORT,NY,MEDASSETS,03/02/2024,2309733554,648,0.5,CS,77.5,0.0
,2309786454,R705T1,BAIR,WESTCHESTER MEDICAL CENTER - LUM CA,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/03/2024,2309786454,974,0.2,CS,44.0,0.0
,2309787464,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,03/02/2024,2309787464,646,0.1,CS,12.39,0.0
,2309786421,R705T1,BAIR,WESTCHESTER MEDICAL CENTER - LUM CA,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/03/2024,2309786421,974,0.2,CS,44.0,0.0
,2309818201,R705T1,BAIR,WESTCHESTER MEDICAL CENTER - LUM CA,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/04/2024,2309818201,974,0.2,CS,44.0,0.0
,2309828032,R705T1,R152,UNIVERSITY OF ROCHESTER/STRONG (BUL,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/03/2024,2309828032,648,0.5,CS,77.5,0.0
,2309788018,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,03/02/2024,2309788018,648,0.2,CS,30.4,0.0
,2309871853,R705T1,ECFX,UNIVERSITY OF ROCHESTER/STRONG (LUM,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/03/2024,2309871853,646,0.2,CS,25.28,0.0
,2309977805,R705T1,BAIR,WESTCHESTER MEDICAL CENTER - LUM CA,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/05/2024,2309977805,974,0.1,CS,22.0,0.0
,2310005144,R705T1,ECFX,UNIVERSITY OF ROCHESTER/STRONG (LUM,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/04/2024,2310005144,645,0.2,CS,29.0,0.0
,2310001572,R705T1,ECFX,UNIVERSITY OF ROCHESTER/STRONG (LUM,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/04/2024,2310001572,648,0.5,CS,77.5,0.0
,2309972655,R705T1,BAIR,WESTCHESTER MEDICAL CENTER - LUM CA,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/04/2024,2309972655,946,0.5,CS,80.25,0.0
,2309986486,R705T1,ECHZ,WILSON MEMORIAL HOSPITAL (LUM),33-57 HARRISON ST,JOHNSON CITY,NY,MEDASSETS,03/04/2024,2309986486,648,0.2,CS,31.02,0.0
,2309988600,R705T1,ECHZ,WILSON MEMORIAL HOSPITAL (LUM),33-57 HARRISON ST,JOHNSON CITY,NY,MEDASSETS,03/04/2024,2309988600,648,0.2,CS,31.02,0.0
,2309920567,R705T2,SUBS,UNIV CINCINNATI-BCW,3200 BURNET AVE,CINCINNATI,OH,MEDASSETS,03/04/2024,2309920567,656,2.0,CS,274.3,0.0
,2309986486,R705T1,ECHZ,WILSON MEMORIAL HOSPITAL (LUM),33-57 HARRISON ST,JOHNSON CITY,NY,MEDASSETS,03/04/2024,2309986486,646,0.2,CS,25.28,0.0
,2310046613,R705T1,JKFF,NCH MD-HEALTHCARE SYSTEM,350 7TH ST N,NAPLES,FL,MEDASSETS,03/04/2024,2310046613,648,1.0,CS,155.04,0.0
,2310060134,R705T1,YF19,BROWARD HEALTH MEDICAL CENTER,1600 S ANDREWS AVE,FORT LAUDERDALE,FL,MEDASSETS,02/27/2024,2310060134,646,1.0,CS,126.38,0.0
,2310051233,R705T1,YAZK,THEDACARE REG MED CTR-APPLETON(LUM),1818 N MEADE ST,APPLETON,WI,MEDASSETS,03/04/2024,2310051233,956,1.0,CS,158.0,0.0
,2310072334,R705T1,HFNW,CHILDRENS NATIONAL HOSPITAL(LUM),111 MICHIGAN AVE NW,WASHINGTON,DC,MEDASSETS,03/04/2024,2310072334,648,0.5,CS,77.5,0.0
,2310073987,R705T2,DT9K,UNIVERSITY OF CINCINNATI - UCMC,331 ALBERT SABIN WAY,CINCINNATI,OH,MEDASSETS,03/01/2024,2310073987,974,1.0,CS,215.7,0.0
,2310109143,R705T2,RBBA,PROMEDICA TOLEDO HOSPITAL (LUM),2142 N COVE BLVD,TOLEDO,OH,MEDASSETS,03/05/2024,2310109143,946,0.2,CS,31.48,0.0
,2310163743,R705T1,ZA8B,CASPER MEDICAL IMAGING,419 S WASHINGTON ST STE 101,CASPER,WY,MEDASSETS,03/05/2024,2310163743,648B,1.0,CS,139.94,0.0
,2310169709,R705T1,Q0WK,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,WARWICK,RI,MEDASSETS,03/06/2024,2310169709,648,1.0,CS,155.0,0.0
,2310185288,R705T1,BAIR,WESTCHESTER MEDICAL CENTER - LUM CA,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/05/2024,2310185288,946,1.0,CS,160.5,0.0
,2310160916,R705T1,ECFX,UNIVERSITY OF ROCHESTER/STRONG (LUM,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/05/2024,2310160916,648,0.2,CS,31.02,0.0
,2310153838,R705T1,R152,UNIVERSITY OF ROCHESTER/STRONG (BUL,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/05/2024,2310153838,648,1.0,CS,155.0,0.0
,2310161125,R705T1,ECHZ,WILSON MEMORIAL HOSPITAL (LUM),33-57 HARRISON ST,JOHNSON CITY,NY,MEDASSETS,03/05/2024,2310161125,646,0.2,CS,25.28,0.0
,2310162402,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,03/06/2024,2310162402,648,0.6,CS,91.19999999999999,0.0
,2310155495,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,03/05/2024,2310155495,648,0.2,CS,30.4,0.0
,2310095374,R705T1,HDIH,THE UNIVERSITY OF TEXAS SW MEDICAL,6201 HARRY HINES BLVD,DALLAS,TX,MEDASSETS,03/05/2024,2310095374,648,4.0,CS,620.16,0.0
,2310155447,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,03/04/2024,2310155447,648,0.2,CS,30.4,0.0
,2310111598,R705T1,QTFA,MADIGAN ARMY MEDICAL CENTER,9040 FITZSIMMONS DR,TACOMA,WA,MEDASSETS,02/27/2024,2310111598,974,3.0,CS,660.03,0.0
,2310164203,R705T1,R998,SILVER CROSS HOSPITAL,1900 SILVER CROSS BLVD,NEW LENOX,IL,MEDASSETS,03/05/2024,2310164203,648,1.0,CS,155.04,0.0
,2310209951,R705T1,JZ5Y,CHS-ST FRANCIS HOSPITAL,100 PORT WASHINGTON BLVD,ROSLYN,NY,MEDASSETS,03/04/2024,2310209951,648,1.0,CS,155.04,0.0
,2310241871,R705T1,5K02,CURE 4 THE KIDS FOUNDATION,1 BREAKTHROUGH WAY STE 300,LAS VEGAS,NV,MEDASSETS,03/05/2024,2310241871,646,3.0,CS,379.14,0.0
,2310251995,R705T1,DYQE,GENESIS HEALTHCARE SYSTEM,2951 MAPLE AVE,ZANESVILLE,OH,MEDASSETS,03/05/2024,2310251995,648,2.0,CS,310.08,0.0
,2310185298,R705T1,BAIR,WESTCHESTER MEDICAL CENTER - LUM CA,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/06/2024,2310185298,974,0.1,CS,22.0,0.0
